"","degree","in_degree","out_degree","btwn","close","vector"
"jay d keasling",31,31,31,631.154761904762,2.12820294543288e-05,1
"dae kyun robb",22,22,22,43.3,2.12720697723889e-05,0.967681524168509
"michelle c y chang",19,19,19,50.5833333333333,2.12675457252233e-05,0.813224763575593
"rachel a eachus",18,18,18,2.58333333333333,2.12670934263414e-05,0.810466437810082
"yoichiro shiba",18,18,18,29.675,2.12716172810619e-05,0.811337976778287
"james kirbya",18,18,18,29.675,2.12716172810619e-05,0.811337976778287
"collin h martin",14,14,14,0,2.12666411466973e-05,0.635892290416396
"mario ouellet",14,14,14,0,2.12666411466973e-05,0.635892290416396
"karl j fisher",14,14,14,0,2.12666411466973e-05,0.635892290416396
"karyn l newman",14,14,14,0,2.12666411466973e-05,0.635892290416396
"john m ndungu",14,14,14,0,2.12666411466973e-05,0.635892290416396
"kimberly a ho",14,14,14,0,2.12666411466973e-05,0.635892290416396
"timothy s ham",14,14,14,0,2.12666411466973e-05,0.635892290416396
"sydnor t withers",14,14,14,0,2.12666411466973e-05,0.635892290416396
"richmond sarpong",14,14,14,0,2.12666411466973e-05,0.635892290416396
"daniel g gibson",13,13,13,0,1.79662234998203e-05,0
"daniel j dwyer",13,13,13,0,1.79662234998203e-05,0
"carole lartigue",13,13,13,0,1.79662234998203e-05,0
"vladimir n noskov",13,13,13,0,1.79662234998203e-05,0
"ray yuan chuang",13,13,13,0,1.79662234998203e-05,0
"mikkel a algire",13,13,13,0,1.79662234998203e-05,0
"gwynedd a benders",13,13,13,0,1.79662234998203e-05,0
"michael g montague",13,13,13,0,1.79662234998203e-05,0
"li ma",13,13,13,0,1.79662234998203e-05,0
"monzia m moodie",13,13,13,0,1.79662234998203e-05,0
"chuck merryman",13,13,13,0,1.79662234998203e-05,0
"sanjay vashee",13,13,13,0,1.79662234998203e-05,0
"radha krishnakumar",13,13,13,0,1.79662234998203e-05,0
"nacyra assad garcia",13,13,13,0,1.79662234998203e-05,0
"michael j selgelid",12,12,12,374.545238095238,2.12725222829671e-05,0.238572333785833
"drew endy",10,10,10,270,2.12598592597317e-05,0.00590780726007334
"gaymon bennett",9,9,9,396.888095238095,2.12738799302217e-05,0.0701622346270539
"markus schmidt",9,9,9,24,1.77345842126731e-05,0
"paul rabinow",9,9,9,136.7,2.12634757277425e-05,0.0116652241245317
"baker david",8,8,8,0,1.75839634253561e-05,0
"anna labno",8,8,8,0,1.75839634253561e-05,0
"ron weiss",8,8,8,19,1.75839634253561e-05,0
"collins jim",8,8,8,0,1.75839634253561e-05,0
"endy drew",8,8,8,0,1.75839634253561e-05,0
"jacobson joseph",8,8,8,0,1.75839634253561e-05,6.27222166550007e-19
"keasling jay",8,8,8,0,1.75839634253561e-05,0
"modrich paul",8,8,8,0,1.75839634253561e-05,0
"smolke christina",8,8,8,0,1.75839634253561e-05,0
"weiss ron",8,8,8,0,1.75839634253561e-05,2.93226362862128e-17
"anna deplazes",6,6,6,9,1.77336407164391e-05,0
"gabrielle n samuel",6,6,6,12.8666666666667,2.12585034013605e-05,0.050033365520832
"arthur caplan",5,5,5,5,1.74352715543545e-05,0
"brianna pearson",5,5,5,0,1.73623168275575e-05,0
"barbara a fechta",5,5,5,0,1.73623168275575e-05,0
"e ferguson",5,5,5,0,1.73623168275575e-05,0
"david nielsen",5,5,5,0,1.73623168275575e-05,0
"eric m paradisea",5,5,5,114.028571428571,2.1264380037e-05,0.0232673128611125
"jesse stricker",5,5,5,0,1.73623168275575e-05,0
"jennifer byers corbin",5,5,5,0,1.73623168275575e-05,0
"peter holtz",5,5,5,0,1.77333262400028e-05,0
"mildred k cho",5,5,5,5,1.74352715543545e-05,0
"shlomiya bar yam",5,5,5,0,1.73623168275575e-05,1.9551690972926e-18
"taizo hanai",5,5,5,0,1.73623168275575e-05,0
"ian kerridge",5,5,5,48,2.12521783482807e-05,0.0357675561780839
"kyri bye nagel",5,5,5,0,1.73623168275575e-05,0
"e townsend",5,5,5,0,1.73623168275575e-05,0
"matthew r bennett",5,5,5,0,1.73623168275575e-05,0
"helge torgersen",5,5,5,0,1.77333262400028e-05,2.40966015938254e-18
"rocco casagrande",5,5,5,0,1.73623168275575e-05,0
"scott tonid",5,5,5,0,1.73623168275575e-05,0
"a spence",5,5,5,0,1.73623168275575e-05,0
"william h mather",5,5,5,0,1.73623168275575e-05,0
"alexander kelle",5,5,5,0,1.77333262400028e-05,0
"florentine eichler",5,5,5,0,1.73623168275575e-05,0
"laurie j heyer",5,5,5,0,1.73623168275575e-05,0
"j a van hilten",5,5,5,0,1.73623168275575e-05,0
"lev s tsimring",5,5,5,0,1.73623168275575e-05,0
"allen lin",5,5,5,0,1.73623168275575e-05,0
"malcolm campbell",5,5,5,0,1.73623168275575e-05,0
"k lowe",5,5,5,0,1.73623168275575e-05,0
"jeff hasty",5,5,5,0,1.73623168275575e-05,0
"nikola biller andorno",5,5,5,0,1.77333262400028e-05,0
"martin oesterreicher",5,5,5,0,1.73623168275575e-05,0
"c verharen",4,4,4,0,1.72896711504547e-05,0
"c prowse",4,4,4,0,1.72896711504547e-05,0
"christian l barrett",4,4,4,0,1.72896711504547e-05,0
"chris j paddonb",4,4,4,0,1.72896711504547e-05,0
"jane calvert",4,4,4,3,1.72896711504547e-05,0
"kristala jones prather",4,4,4,138,2.12354802403856e-05,0.000924685377203863
"raymond a zilinskas",4,4,4,0,1.74349675709603e-05,0
"nicole kronberger",4,4,4,0,1.75827267292612e-05,0
"filippa lentzos",4,4,4,0,2.12571477159195e-05,0.00577221708356515
"meinhard schiller",4,4,4,0,1.72896711504547e-05,0
"dieter metze",4,4,4,0,1.72896711504547e-05,0
"zheng jun guan",4,4,4,0,1.77326973205894e-05,0
