Adam Arkin;Pamela A. Silver;George Chruch;;;;;;;;;;;;
Ahmad S. Khalil;Agomoni Ganguli-Mitra;;;;;;;;;;;;;
Ali Nouri ;Alan Irwin;;;;;;;;;;;;;
Amelie Cserer;Alexander van Oudenaarden;;;;;;;;;;;;;
Anna Deplazes;Alexandra Seiringer;;;;;;;;;;;;;
Baker David;Anna Labno;Collins Jim;Endy Drew;Jacobson  Joseph;Keasling Jay;Modrich Paul;Smolke Christina;Weiss Ron;;;;;;
Barry Canton;Antoine Danchin;Drew Endy;;;;;;;;;;;;
Brian J Yeh;Arthur Caplan;;;;;;;;;;;;;
Brianna Pearson;Barbara A. Fechta;Kyri Bye-Nagel;Scott Tonid;Laurie J Heyer ;Malcolm Campbell;;;;;;;;;
C. Verharen;C. Prowse;G. Middendorf;M. Castro-Sitiriche;G. Kadoda ;;;;;;;;;;
Christian L Barrett;Chris J. Paddonb;Hyun Uk Kim;Bernhard À Palsson;Sang Yup Lee;;;;;;;;;;
Christina D. Smolke;Christopher F Chyba;;;;;;;;;;;;;
Dae-kyun Robb;Collin H Martin;Mario Ouellet;Karl J. Fisher;Karyn L. Newman;John M. Ndungu;Kimberly A. Ho;Rachel A Eachus;Timothy S. Ham; James Kirby;Michelle C Y. Chang;Sydnor T. Withers;Yoichiro Shiba;Richmond Sarpong ;Jay D. Keasling
Daniel G. Gibson;Daniel J Dwyer;Carole Lartigue;Vladimir N. Noskov;Ray-Yuan Chuang;Mikkel A. Algire;Gwynedd A. Benders;Michael G. Montague;Li Ma;Monzia M. Moodie;Chuck Merryman;Sanjay Vashee;Radha Krishnakumar;Nacyra Assad-Garcia;
Dominique Aubel;David Berry;;;;;;;;;;;;;
Douglas J. Piteraa;David Magnus;Jack D. Newman;Jay D. Keasling;;; ;;;;;;;;
E. Ferguson;David Nielsen;E. Townsend;A. Spence;J. A. van Hilten ;K. Lowe;;;;;;;;;
Effendi Leonard;Diana M. Bowman;Kevin Solomon;Kristala Jones Prather;; ;;;;;;;;;
Eric G Gladstone;Drew Endy;James J Bull;;;;;;;;;;;;
Farren J Isaacs;Emily C. Parke;James J Collins;;;;;;;;;;;;
Gabrielle N. Samuel;Eric M. Paradisea;Michael J. Selgelid;;;;;;;;;;;;
Gaymon Bennett;Eric M. Paradisea;Anthony Stavrianakis;Paul Rabinow;;;;;;;;;;;
Graeme A. Hodge;Erin D. Williams;Andrew D. Maynard;;;;;;;;;;;;
Heinz Neumann ;Gautam Mukunda;;;;;;;;;;;;;
James M Carothers;Gaymon Bennett;Jay D Keasling;; ;;;;;;;;;;
Jane Calvert;Howard Chou;;;;;;;;;;;;;
Jay D Keasling;Ian J Molineux;;;;;;;;;;;;;
Jeff Gore;James J Collins;;;;;;;;;;;;;
Jennifer R. Anthony ;Jay D Keasling;Farnaz Nowroozi;Gina Kwon a;;;;;;;;;;;
Jesse Stricker;Jennifer Byers_Corbin;Matthew R. Bennett;William H. Mather;Lev S. Tsimring ;Jeff Hasty;; ;;;;;;;
Joachim Henkel ;John I. Glass;;;;;;;;;;;;;
Jonathan B. Tucker;Jonathan A Goler;;;;;;;;;;;;;
Joy sinha;Larry C. Anthony;Justin p gallivan;;;;;;;;;;;;
Kristala Jones Prather ;Lorna Weir;;;;;;;;;;;;;
Leon Y Chan;Markus Huppenbauer;Drew Endy;;;;;;;;;;;;
Linda J Kahl;Martin Fussenegger;;;;;;;;;;;;;
Lisa Klasson;Martin Fussenegger;;;;;;;;;;;;;
Lorna Weir;Michael J. Selgelid;;;;;;;;;;;;;
Luis Moroder;Morgan Meyer;;;;;;;;;;;;;
M. Bujara ;Nediljko Budisa;F. Greve;S. Panke;;;;;;;;;;;
Maja Horst;Nikolas Rose;;;;;;;;;;;;;
Marcel Tigges;Nils Gilman;;;;;;;;;;;;;
Mark A. Bedau;Paul Martin;Uwe Tangen;Brigitte Hantsche-Tangen;;;;;;;;;;;
Markus Schmidt;Peter Holtz;Helge Torgersen;Alexander Kelle;Anna Deplazes;Nikola Biller-Andorno;;;;;;;;;
Marnix H. Medema;Petra Neumann-Staubitz;Roel Bovenberg;Eriko Takano;;;;;;;;;;;
Michael J. Selgelid ;Pier Luigi Luisi;;;;;;;;;;;;;
Michelle C Y Chang;Rachel A Eachus;William Trieu;Dae-kyun Robb;Jay D Keasling;;;;;;;;;;
Michelle C Y Chang;Rainer Breitling;;;;;;;;;;;;;
Mildred K. Cho;Raymond A. Zilinskas;Arthur Caplan;Daniel McGee;Ethics of Genomics Group;;;;;;;;;;
Nicole Kronberger;Ron Weiss;Wolfgang Kerbe;Ewald Strasser;Wolfgang Wagner;;;;;;;;;;
Nigel M de S Cameron ;Ron Weiss;;;;;;;;;;;;;
Pablo Ravasi;Ron Weiss;Hugo Gramajo;Hugo G Menzella;;;;;;;;;;;
Pasquale Stano;S. Billerbeck;;;;;;;;;;;;;
Paul Oldham;Salvador Peiru;Geoff Burton;;;;;;;;;;;;
Paul Rabinow;Sam Snell;;;;;;;;;;;;;
Paul Rabinow;samuel J reyes;;;;;;;;;;;;;
Petra Schwille;Scott Cookson;;;;;;;;;;;;;
Priscilla E. M. Purnick ;Siv G. E. Andersson;;;;;;;;;;;;;
Rachel Wellhausen;Sriram Kosuri;;;;;;;;;;;;;
Ruth Mampuys;Stefan Diez;;;;;;;;;;;;;
Ryan McDaniel ;Stephen Hall;;;;;;;;;;;;;
Ryan McDaniel ;Stephen M Maurer;;;;;;;;;;;;;
Seumas Miller ;Tae Yong Kim;;;;;;;;;;;;;
Shlomiya Bar_Yam;Taizo Hanai;Rocco Casagrande;Florentine Eichler;Allen Lin;Martin Oesterreicher; ;;;;;;;;
Shota Atsumi;Wendell A Lim;James C. Liao;;;;;;;;;;;;
Stephen D. Unwina;Church George;;;;;;;;;;;;;
Susan Molyneux-Hodgson;Frans W. A. Brom;;;;;;;;;;;;;
Svitlana V. Pustovit;Ian Kerridge;;;;;;;;;;;;;
Vi_ctor de Lorenzo ;J. Tharakan;;;;;;;;;;;;;
Yoichiro Shiba;Michael J. Selgelid;James Kirbya;Dae-kyun Robbbb;Jay D. Keasling;;;; ;;;;;;
Maureen A. OÕMalley;Alexander Powell;Jonathan F. Davies;Jane Calvert;;;;;;;;;;;
"abrielle Samuel";Michael J. Selgelid;Ian Kerridge;;;;;;;;;;;;
Lalit Kant;D. T. Mourya ;;;;;;;;;;;;;
Gabrielle N. Samuel; Michael J. Selgelid;Ian Kerridge;;;;;;;;;;;;
Sibylle Gaisser;Thomas Reiss ;;;;;;;;;;;;;
Thomas Douglas;Julian Savulescu;;;;;;;;;;;;;
FRIDA KUHLAU;STEFAN ERIKSSON; KATHINKA EVERS;ANNA T. HO_GLUND;;;;;;;;;;;
Filippa Lentzos;Gaymon Bennett;Jef Boeke;Drew Endy;Paul Rabinow;;;;;;;;;;
Mildred K. Cho;David A. Relman;;;;;;;;;;;;;
Robin Fears;Volker ter Meulen ;;;;;;;;;;;;;
Arti Rai;James Boyle;;;;;;;;;;;;;
